"","ENSEMBL","SYMBOL","SRR9309444_SAM_Outputfile_Counts","SRR9309445_SAM_Outputfile_Counts"
"1","ENSG00000000003","TSPAN6",1877,1568
"2","ENSG00000000005","TNMD",2,0
"3","ENSG00000000419","DPM1",3049,2090
"4","ENSG00000000457","SCYL3",814,586
"5","ENSG00000000460","C1orf112",249,195
"6","ENSG00000000938","FGR",617,63
"7","ENSG00000000971","CFH",11129,28619
"8","ENSG00000001036","FUCA2",7574,8159
"9","ENSG00000001084","GCLC",3576,2444
"10","ENSG00000001167","NFYA",2897,1453
"11","ENSG00000001460","STPG1",1812,1359
"12","ENSG00000001461","NIPAL3",24668,26020
"13","ENSG00000001497","LAS1L",2799,3206
"14","ENSG00000001561","ENPP4",660,356
"15","ENSG00000001617","SEMA3F",2222,3941
"16","ENSG00000001626","CFTR",0,1
"17","ENSG00000001629","ANKIB1",19282,16867
"18","ENSG00000001630","CYP51A1",848,1132
"19","ENSG00000001631","KRIT1",684,537
"20","ENSG00000002016","RAD52",971,470
"21","ENSG00000002079",NA,24,20
"22","ENSG00000002330","BAD",4867,4469
"23","ENSG00000002549","LAP3",4327,5148
"24","ENSG00000002586","CD99",34350,34301
"25","ENSG00000002587","HS3ST1",58,6
"26","ENSG00000002726","AOC1",14,0
"27","ENSG00000002745","WNT16",2,0
"28","ENSG00000002746","HECW1",129,23
"29","ENSG00000002822","MAD1L1",35,35
"30","ENSG00000002834","LASP1",145167,110197
"31","ENSG00000002919","SNX11",2925,2851
"32","ENSG00000002933","TMEM176A",546,64
"33","ENSG00000003056","M6PR",5651,4781
"34","ENSG00000003096","KLHL13",201,129
"35","ENSG00000003137","CYP26B1",5148,5962
"36","ENSG00000003147","ICA1",52,6
"37","ENSG00000003249","DBNDD1",3993,4553
"38","ENSG00000003393","ALS2",9212,9240
"39","ENSG00000003400","CASP10",468,387
"40","ENSG00000003402","CFLAR",21372,22700
"41","ENSG00000003436","TFPI",9168,6936
"42","ENSG00000003509","NDUFAF7",1708,1293
"43","ENSG00000003756","RBM5",8295,4581
"44","ENSG00000003987","MTMR7",138,98
"45","ENSG00000003989","SLC7A2",10129,2838
"46","ENSG00000004059","ARF5",6256,5791
"47","ENSG00000004139","SARM1",990,835
"48","ENSG00000004142","POLDIP2",15522,13055
"49","ENSG00000004399","PLXND1",35839,23385
"50","ENSG00000004455","AK2",11862,12027
"51","ENSG00000004468","CD38",64,24
"52","ENSG00000004478","FKBP4",14946,9353
"53","ENSG00000004487","KDM1A",11274,9931
"54","ENSG00000004534","RBM6",5579,5862
"55","ENSG00000004660","CAMKK1",378,312
"56","ENSG00000004700","RECQL",6016,3961
"57","ENSG00000004766","VPS50",2492,1472
"58","ENSG00000004776","HSPB6",19891,21954
"59","ENSG00000004777","ARHGAP33",377,411
"60","ENSG00000004779","NDUFAB1",3706,2912
"61","ENSG00000004799","PDK4",776,132
"62","ENSG00000004809","SLC22A16",15,4
"63","ENSG00000004838","ZMYND10",42,22
"64","ENSG00000004846","ABCB5",2,0
"65","ENSG00000004848","ARX",0,0
"66","ENSG00000004864","SLC25A13",818,835
"67","ENSG00000004866","ST7",14015,8779
"68","ENSG00000004897","CDC27",8799,7612
"69","ENSG00000004939","SLC4A1",0,0
"70","ENSG00000004948","CALCR",1,0
"71","ENSG00000004961","HCCS",4389,4115
"72","ENSG00000004975","DVL2",6186,3837
"73","ENSG00000005001","PRSS22",6,1
"74","ENSG00000005007","UPF1",16762,10901
"75","ENSG00000005020","SKAP2",515,274
"76","ENSG00000005022","SLC25A5",10616,10708
"77","ENSG00000005059","MCUB",790,508
"78","ENSG00000005073","HOXA11",2,2
"79","ENSG00000005075","POLR2J",1928,1803
"80","ENSG00000005100","DHX33",3734,2470
"81","ENSG00000005102","MEOX1",2,3
"82","ENSG00000005108","THSD7A",0,0
"83","ENSG00000005156","LIG3",2428,1903
"84","ENSG00000005175","RPAP3",2502,1801
"85","ENSG00000005187","ACSM3",41,4
"86","ENSG00000005189","REXO5",227,127
"87","ENSG00000005194","CIAPIN1",4542,4713
"88","ENSG00000005206","SPPL2B",3633,2885
"89","ENSG00000005238","FAM214B",7242,7087
"90","ENSG00000005243","COPZ2",6375,7012
"91","ENSG00000005249","PRKAR2B",102,102
